OrderItemID,OrderID,ProductID,Quantity,Price
1,1,10,1,345.59
2,1,9,1,433.41
3,1,5,3,1226.4
4,2,9,1,433.41
5,2,1,3,842.16
6,2,4,1,11.57
7,2,5,1,408.8
8,3,9,2,866.82
9,4,11,3,1168.05
10,4,1,1,280.72
11,5,8,2,931.38
12,5,5,3,1226.4
13,5,6,2,821.66
14,6,12,2,729.9
15,6,2,2,953.72
16,6,3,3,606.81
17,7,10,1,345.59
18,7,6,3,1232.49
19,8,9,3,1300.23
20,8,7,1,496.28
21,8,8,3,1397.07
22,9,10,1,345.59
23,9,3,3,606.81
24,9,2,2,953.72
25,9,7,1,496.28
26,10,9,2,866.82
27,10,5,2,817.6
28,10,4,1,11.57
29,10,3,3,606.81
30,10,8,2,931.38
31,11,8,2,931.38
32,11,2,3,1430.58
33,11,10,1,345.59
34,11,1,3,842.16
35,11,12,3,1094.85
36,12,2,2,953.72
37,13,3,1,202.27
38,13,5,1,408.8
39,14,12,2,729.9
40,14,3,3,606.81
41,14,10,3,1036.77
42,14,7,2,992.56
43,15,2,2,953.72
44,15,6,2,821.66
45,16,12,3,1094.85
46,16,8,3,1397.07
47,16,5,2,817.6
48,17,9,2,866.82
49,17,7,1,496.28
50,18,1,1,280.72
51,19,8,3,1397.07
52,20,5,1,408.8
53,20,1,2,561.44
54,20,12,1,364.95
55,20,10,1,345.59
56,21,11,3,1168.05
57,21,12,3,1094.85
58,21,6,2,821.66
59,21,9,1,433.41
60,22,2,2,953.72
61,22,8,1,465.69
62,23,5,2,817.6
63,23,2,1,476.86
64,23,9,3,1300.23
65,23,11,2,778.7
66,24,9,3,1300.23
67,24,6,1,410.83
68,24,1,1,280.72
69,25,1,3,842.16
70,25,3,1,202.27
71,25,11,2,778.7
72,25,12,2,729.9
73,25,10,2,691.18
74,26,4,3,34.71
75,26,9,1,433.41
76,26,12,2,729.9
77,26,6,3,1232.49
78,26,11,1,389.35
79,27,9,3,1300.23
80,27,11,2,778.7
81,27,3,1,202.27
82,27,8,2,931.38
83,28,11,1,389.35
84,28,8,3,1397.07
85,28,1,2,561.44
86,29,8,2,931.38
87,30,6,1,410.83
88,30,5,2,817.6
89,30,9,1,433.41
90,31,7,2,992.56
91,31,6,3,1232.49
92,32,4,1,11.57
93,32,5,1,408.8
94,33,12,3,1094.85
95,33,7,2,992.56
96,33,2,3,1430.58
97,33,1,2,561.44
98,34,6,1,410.83
99,34,2,2,953.72
100,34,1,2,561.44
101,34,5,2,817.6
102,35,6,2,821.66
103,36,3,1,202.27
104,36,6,2,821.66
105,36,11,3,1168.05
106,37,8,3,1397.07
107,37,4,1,11.57
108,37,9,1,433.41
109,37,12,3,1094.85
110,38,5,2,817.6
111,38,2,3,1430.58
112,38,7,1,496.28
113,38,1,1,280.72
114,38,6,2,821.66
115,39,7,3,1488.84
116,39,1,3,842.16
117,39,2,3,1430.58
118,39,9,3,1300.23
119,40,6,2,821.66
120,40,7,1,496.28
121,41,6,3,1232.49
122,41,2,2,953.72
123,42,9,1,433.41
124,42,10,1,345.59
125,43,1,2,561.44
126,43,3,3,606.81
127,43,10,3,1036.77
128,43,6,2,821.66
129,44,4,1,11.57
130,45,6,2,821.66
131,45,9,1,433.41
132,45,2,3,1430.58
133,45,1,2,561.44
134,46,1,3,842.16
135,46,7,2,992.56
136,46,2,3,1430.58
137,46,5,3,1226.4
138,46,4,2,23.14
139,47,6,3,1232.49
140,47,9,1,433.41
141,47,2,3,1430.58
142,47,7,2,992.56
143,48,3,2,404.54
144,48,11,2,778.7
145,48,6,2,821.66
146,48,9,2,866.82
147,48,12,1,364.95
148,49,9,1,433.41
149,49,5,3,1226.4
150,49,3,1,202.27
151,50,5,3,1226.4
152,50,9,3,1300.23
153,50,12,1,364.95
154,50,11,2,778.7
155,50,1,3,842.16
156,51,1,2,561.44
157,51,10,3,1036.77
158,52,4,1,11.57
159,52,8,3,1397.07
160,53,3,2,404.54
161,53,11,3,1168.05
162,53,7,2,992.56
163,53,12,1,364.95
164,53,10,3,1036.77
165,54,5,2,817.6
166,55,11,1,389.35
167,55,6,2,821.66
168,56,5,2,817.6
169,56,11,3,1168.05
170,56,1,2,561.44
171,56,6,3,1232.49
172,56,10,2,691.18
173,57,7,1,496.28
174,57,9,1,433.41
175,57,3,1,202.27
176,57,2,2,953.72
177,57,6,2,821.66
178,58,9,1,433.41
179,58,6,2,821.66
180,59,2,2,953.72
181,59,11,3,1168.05
182,59,3,3,606.81
183,59,5,3,1226.4
184,59,9,1,433.41
185,60,8,1,465.69
186,60,2,2,953.72
187,60,5,3,1226.4
188,60,3,1,202.27
189,61,1,1,280.72
190,61,7,1,496.28
191,61,12,2,729.9
192,61,5,3,1226.4
193,61,4,2,23.14
194,62,7,3,1488.84
195,62,10,1,345.59
196,62,5,3,1226.4
197,62,6,1,410.83
198,63,1,3,842.16
199,63,4,1,11.57
200,63,8,3,1397.07
201,63,10,2,691.18
202,64,1,1,280.72
203,64,8,3,1397.07
204,64,7,1,496.28
205,65,3,2,404.54
206,65,5,1,408.8
207,65,9,2,866.82
208,65,12,1,364.95
209,66,10,2,691.18
210,66,1,1,280.72
211,66,5,2,817.6
212,66,6,1,410.83
213,67,9,3,1300.23
214,67,12,3,1094.85
215,67,4,1,11.57
216,68,3,3,606.81
217,69,7,1,496.28
218,69,11,3,1168.05
219,69,3,2,404.54
220,70,12,1,364.95
221,70,3,3,606.81
222,70,5,3,1226.4
223,70,11,3,1168.05
